Year	Month	MeanMaxTemp
1957	2	30.9
1957	3	28.2
1957	4	23.9
1957	5	21.3
1957	6	18
1957	7	16.8
1957	8	18.2
1957	9	18.8
1957	10	23
1957	11	27.1
1957	12	29.6
1958	1	32.3
1958	2	31.4
1958	3	29.1
1958	4	23.9
1958	5	20.3
1958	6	18.5
1958	7	15.5
1958	8	17.7
1958	9	18.6
1958	10	20.9
1958	11	25.7
1958	12	30.8
1959	1	30.4
1959	2	30.8
1959	3	29.1
1959	4	23.4
1959	5	20.4
1959	6	18.8
1959	7	18.3
1959	8	19.6
1959	9	20.2
1959	10	21.5
1959	11	24.3
1959	12	26.2
1960	1	27
1960	2	29.7
1960	3	25.4
1960	4	21.1
1960	5	18.7
1960	6	17.3
1960	7	15.4
1960	8	16.8
1960	9	18.9
1960	10	22.3
1960	11	25.3
1960	12	29.5
1961	1	33.1
1961	2	31.4
1961	3	28.7
1961	4	21.6
1961	5	21.2
1961	6	18.1
1961	7	16.8
1961	8	17.1
1961	9	20.3
1961	10	22.4
1961	11	25.9
1961	12	28.3
1962	1	33.6
1962	2	30.6
1962	3	26.9
1962	4	25.6
1962	5	21.8
1962	6	18.8
1962	7	17.7
1962	8	18.2
1962	9	18.7
1962	10	19.5
1962	11	24.1
1962	12	29.4
1963	1	29.9
1963	2	29.9
1963	3	29.2
1963	4	24.7
1963	5	19.7
1963	6	17.4
1963	7	16.3
1963	8	17.2
1963	9	19
1963	10	22.8
1963	11	26
1963	12	28.9
1964	1	30.2
1964	2	29.6
1964	3	28.6
1964	4	22
1964	5	20.3
1964	6	18
1964	7	16.5
1964	8	17.3
1964	9	17.9
1964	10	18.6
1964	11	23.5
1964	12	27
1965	1	31.2
1965	2	30.3
1965	3	27.9
1965	4	23.4
1965	5	19.2
1965	6	17.3
1965	7	16.9
1965	8	17.2
1965	9	18.3
1965	10	21.5
1965	11	22.5
1965	12	28.9
1966	1	30.7
1966	2	29.6
1966	3	27.7
1966	4	23.2
1966	5	19.8
1966	6	16.7
1966	7	16.5
1966	8	17.7
1966	9	18
1966	10	21.2
1966	11	25.7
1966	12	29.2
1967	1	31.9
1967	2	32.8
1967	3	27.7
1967	4	23.9
1967	5	19.9
1967	6	18.3
1967	7	16.4
1967	8	16.4
1967	9	20.2
1967	10	22.8
1967	11	25.4
1967	12	29.4
1968	1	30.3
1968	2	29.6
1968	3	25
1968	4	20.2
1968	5	18.3
1968	6	16
1968	7	16.2
1968	8	15.3
1968	9	17.7
1968	10	19.3
1968	11	22.5
1968	12	27.8
1969	1	28.9
1969	2	31.4
1969	3	27.4
1969	4	23.1
1969	5	19.9
1969	6	17.9
1969	7	16.2
1969	8	17.4
1969	9	18.8
1969	10	25
1969	11	26.7
1969	12	29.2
1970	1	30.8
1970	2	31.8
1970	3	28.9
1970	4	22.5
1970	5	19.8
1970	6	16.9
1970	7	17.2
1970	8	17.3
1970	9	18.1
1970	10	21
1970	11	24.5
1970	12	30.6
1971	1	29.5
1971	2	29.3
1971	3	28.3
1971	4	23.1
1971	5	19.8
1971	6	18.1
1971	7	17.4
1971	8	16.5
1971	9	17.1
1971	10	19
1971	11	21.3
1971	12	27.3
1972	1	31.8
1972	2	33.6
1972	3	29.2
1972	4	24.8
1972	5	22.4
1972	6	18.3
1972	7	16.7
1972	8	16.5
1972	9	19.6
1972	10	22.8
1972	11	27.1
1972	12	31.6
1973	1	30.8
1973	2	30.4
1973	3	28.7
1973	4	23.3
1973	5	19.5
1973	6	15.5
1973	7	16.5
1973	8	16.5
1973	9	18.1
1973	10	21.5
1973	11	24.7
1973	12	29.2
1974	1	33.1
1974	2	30
